date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:11	5586/5586	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202013%2007:16:35%20GMT	http://wbpreview.com/previews/WB0D95984/coming-soon.html	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/coming-soon.html	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:11	13364/13364	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202013%2007:16:33%20GMT	http://wbpreview.com/previews/WB0D95984/aboutus.html	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/aboutus.html	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:12	11745/11745	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202013%2007:16:35%20GMT	http://wbpreview.com/previews/WB0D95984/contact.html	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/contact.html	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:12	18206/18206	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202013%2007:16:34%20GMT	http://wbpreview.com/previews/WB0D95984/faq.html	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/faq.html	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:13	3634/3634	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202013%2007:16:35%20GMT	http://wbpreview.com/previews/WB0D95984/signup.html	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/signup.html	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:13	4728/4728	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202013%2007:16:35%20GMT	http://wbpreview.com/previews/WB0D95984/signin.html	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/signin.html	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:24	39501/39501	---M--	200	added ('OK')	image/jpeg	etag:%22510a1a5a-9a4d%22	http://wbpreview.com/previews/WB0D95984/img/feature1.jpg	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/feature1.jpg	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:29	25934/25934	---M--	200	added ('OK')	image/jpeg	etag:%22510a1a59-654e%22	http://wbpreview.com/previews/WB0D95984/img/feature2.jpg	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/feature2.jpg	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:30	163169/163169	---M--	200	added ('OK')	image/png	etag:%22510a1a65-27d61%22	http://wbpreview.com/previews/WB0D95984/img/slide1.png	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/slide1.png	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:32	9142/9142	---M--	200	added ('OK')	image/jpeg	etag:%22510a1a5a-23b6%22	http://wbpreview.com/previews/WB0D95984/img/pic1.jpg	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/pic1.jpg	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:40	67208/67208	---M--	200	added ('OK')	image/jpeg	etag:%22510a1a5d-10688%22	http://wbpreview.com/previews/WB0D95984/img/feature3.jpg	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/feature3.jpg	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:45	273199/273199	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2030%20Jul%202013%2017:41:04%20GMT	http://code.jquery.com/jquery-latest.js	C:/My%20Web%20Sites/http_theme/code.jquery.com/jquery-latest.js	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:47	31596/31596	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2031%20Jan%202013%2007:16:39%20GMT	http://wbpreview.com/previews/WB0D95984/js/bootstrap.min.js	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/js/bootstrap.min.js	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:48	1215/1215	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2031%20Jan%202013%2007:16:36%20GMT	http://wbpreview.com/previews/WB0D95984/js/theme.js	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/js/theme.js	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:51	12799/12799	---M--	200	added ('OK')	image/png	etag:%22510a1a59-31ff%22	http://wbpreview.com/previews/WB0D95984/img/glyphicons-halflings.png	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/glyphicons-halflings.png	(from http://wbpreview.com/previews/WB0D95984/css/bootstrap.css)
14:29:52	231994/231994	---M--	200	added ('OK')	image/png	etag:%22510a1a66-38a3a%22	http://wbpreview.com/previews/WB0D95984/img/slide2.png	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/slide2.png	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:52	8777/8777	---M--	200	added ('OK')	image/png	etag:%22510a1a59-2249%22	http://wbpreview.com/previews/WB0D95984/img/glyphicons-halflings-white.png	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/glyphicons-halflings-white.png	(from http://wbpreview.com/previews/WB0D95984/css/bootstrap.css)
14:29:53	851/851	---M--	200	added ('OK')	image/jpeg	etag:%22510a1a5a-353%22	http://wbpreview.com/previews/WB0D95984/img/nav_bg.jpg	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/nav_bg.jpg	(from http://wbpreview.com/previews/WB0D95984/css/theme.css)
14:29:54	6622/6622	---M--	200	added ('OK')	image/jpeg	etag:%22510a1a57-19de%22	http://wbpreview.com/previews/WB0D95984/img/content_bg.jpg	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/content_bg.jpg	(from http://wbpreview.com/previews/WB0D95984/css/theme.css)
14:29:54	2221/2221	---M--	200	added ('OK')	image/png	etag:%22510a1a55-8ad%22	http://wbpreview.com/previews/WB0D95984/img/chart1.png	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/chart1.png	(from http://wbpreview.com/previews/WB0D95984/css/theme.css)
14:29:55	2315/2315	---M--	200	added ('OK')	image/png	etag:%22510a1a57-90b%22	http://wbpreview.com/previews/WB0D95984/img/chart2.png	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/chart2.png	(from http://wbpreview.com/previews/WB0D95984/css/theme.css)
14:29:55	435/435	---M--	200	added ('OK')	image/jpeg	etag:%22510a1a59-1b3%22	http://wbpreview.com/previews/WB0D95984/img/footer_bg.jpg	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/footer_bg.jpg	(from http://wbpreview.com/previews/WB0D95984/css/theme.css)
14:29:56	1890/1890	---M--	200	added ('OK')	image/png	etag:%22510a1a56-762%22	http://wbpreview.com/previews/WB0D95984/img/chart1_small.png	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/chart1_small.png	(from http://wbpreview.com/previews/WB0D95984/css/theme.css)
14:29:56	1877/1877	---M--	200	added ('OK')	image/png	etag:%22510a1a57-755%22	http://wbpreview.com/previews/WB0D95984/img/chart2_small.png	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/chart2_small.png	(from http://wbpreview.com/previews/WB0D95984/css/theme.css)
14:29:57	2949/2949	---M--	200	added ('OK')	image/png	etag:%22510a1a59-b85%22	http://wbpreview.com/previews/WB0D95984/img/icons.png	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/icons.png	(from http://wbpreview.com/previews/WB0D95984/css/theme.css)
14:29:57	160108/160108	---M--	200	added ('OK')	image/png	etag:%22510a1a5e-2716c%22	http://wbpreview.com/previews/WB0D95984/img/pic_blog.png	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/pic_blog.png	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:58	4100/4100	---MCZ	200	added ('OK')	text/css	date:Thu,%2031%20Jan%202013%2007:16:48%20GMT	http://wbpreview.com/previews/WB0D95984/css/blog.css	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/css/blog.css	(from http://wbpreview.com/previews/WB0D95984/blog.html)
14:29:58	12264/12264	---M--	200	added ('OK')	image/png	etag:%22510a1a5c-2fe8%22	http://wbpreview.com/previews/WB0D95984/img/social_icons.png	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/social_icons.png	(from http://wbpreview.com/previews/WB0D95984/css/theme.css)
14:29:59	16647/16647	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202013%2007:16:34%20GMT	http://wbpreview.com/previews/WB0D95984/blog-post.html	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/blog-post.html	(from http://wbpreview.com/previews/WB0D95984/blog.html)
14:29:59	10777/10777	---MCZ	200	added ('OK')	text/css	date:Thu,%2031%20Jan%202013%2007:16:49%20GMT	http://wbpreview.com/previews/WB0D95984/css/external-pages.css	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/css/external-pages.css	(from http://wbpreview.com/previews/WB0D95984/features.html)
14:30:00	1164/1164	---M--	200	added ('OK')	image/png	etag:%22510a1a5d-48c%22	http://wbpreview.com/previews/WB0D95984/img/thumb_more.png	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/thumb_more.png	(from http://wbpreview.com/previews/WB0D95984/portfolio.html)
14:30:03	1861/1861	---MCZ	200	added ('OK')	text/css	date:Thu,%2031%20Jan%202013%2007:16:52%20GMT	http://wbpreview.com/previews/WB0D95984/css/signup.css	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/css/signup.css	(from http://wbpreview.com/previews/WB0D95984/signup.html)
14:30:04	7646/7646	---MCZ	200	added ('OK')	text/css	date:Thu,%2031%20Jan%202013%2007:16:51%20GMT	http://wbpreview.com/previews/WB0D95984/css/signin.css	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/css/signin.css	(from http://wbpreview.com/previews/WB0D95984/signin.html)
14:30:05	852/852	---M--	200	added ('OK')	image/png	etag:%22510a1a5a-354%22	http://wbpreview.com/previews/WB0D95984/img/i_face.png	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/i_face.png	(from http://wbpreview.com/previews/WB0D95984/signin.html)
14:30:06	3518/3518	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202013%2007:16:35%20GMT	http://wbpreview.com/previews/WB0D95984/reset.html	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/reset.html	(from http://wbpreview.com/previews/WB0D95984/signin.html)
14:30:13	435117/435117	---M--	200	added ('OK')	image/png	etag:%22510a1a64-6a3ad%22	http://wbpreview.com/previews/WB0D95984/img/slide3.png	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/slide3.png	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:30:14	133015/133015	---M--	200	added ('OK')	image/jpeg	etag:%22510a1a5f-20797%22	http://wbpreview.com/previews/WB0D95984/img/thumb_gallery.jpg	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/thumb_gallery.jpg	(from http://wbpreview.com/previews/WB0D95984/portfolio.html)
14:30:26	63621/63621	---M--	200	added ('OK')	image/png	etag:%22510a1a58-f885%22	http://wbpreview.com/previews/WB0D95984/img/contact_icons.png	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/contact_icons.png	(from http://wbpreview.com/previews/WB0D95984/css/external-pages.css)
14:30:26	63538/63538	---M--	200	added ('OK')	image/png	etag:%22510a1a5a-f832%22	http://wbpreview.com/previews/WB0D95984/img/features_icons.png	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/features_icons.png	(from http://wbpreview.com/previews/WB0D95984/css/external-pages.css)
14:30:28	218422/218422	---M--	200	added ('OK')	image/png	etag:%22510a1a58-35536%22	http://wbpreview.com/previews/WB0D95984/img/about.png	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/about.png	(from http://wbpreview.com/previews/WB0D95984/aboutus.html)
14:30:28	1796/1796	---MCZ	200	added ('OK')	text/css	date:Thu,%2031%20Jan%202013%2007:16:51%20GMT	http://wbpreview.com/previews/WB0D95984/css/reset.css	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/css/reset.css	(from http://wbpreview.com/previews/WB0D95984/reset.html)
14:30:40	383925/383925	---M--	200	added ('OK')	image/jpeg	etag:%22510a1a67-5dbb5%22	http://wbpreview.com/previews/WB0D95984/img/blog_post.jpg	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/blog_post.jpg	(from http://wbpreview.com/previews/WB0D95984/blog-post.html)
